key,query,doi,score,ts
XTBJ4MS8,"?query.bibliographic=Rijksstudio: Make Your Own Masterpiece!&query.author=Gorgels, Peter&query.bibliographic=2013",10.1057/9781137026521_8,28.277110999999998,1598888466.5913372
F6AGDDTQ,"?query.bibliographic=AI Sees What? The Good, the Bad, and the Ugly of Machine Vision for Museum Collections&query.author=Ciecko, Brendan&query.bibliographic=2020",10.1109/issre.2016.38,30.118816,1598888467.5282292
UGK9CEP8,"?query.bibliographic=Museum Collections on Wikipedia: Opening Up to Open Data Initiatives&query.author=Villaespesa, Elena; Navarrete, Trilce&query.bibliographic=2019",10.1080/10645578.2019.1668679,48.924834999999995,1598888473.4721072
Y6UD5T93,"?query.bibliographic=Open Licensing and the Future for Collections&query.author=Bray, Paula&query.bibliographic=2009&query.container-title=Museum and the Web",10.1007/978-1-4899-6038-2_21,20.985096,1598888483.6826904
TPUSL3JL,"?query.bibliographic=Using Coyote to Describe the World&query.author=Bahram, Sina; Lavatelli, Anna Chiaretta&query.bibliographic=2018&query.container-title=Museums and the Web",10.1051/shsconf/20184400058,22.508860000000002,1598888484.952789
CKFUVIJ2,"?query.bibliographic=Structuring for digital success: A global survey of how museums and other cultural organizations resource, fund, and structure their digital teams and activity – MW18: Museums and the Web 2018&query.author=Price, Kati; James, Dafydd&query.bibliographic=2018",10.4324/9781315200057-11,47.244156,1598888486.4769495
ZV2AJXY2,/10.1045/may2017-christen,10.1045/may2017-christen,,1598888487.4610806
6ULJY29B,"?query.bibliographic=Some Provocations on the Digital Future of Museums&query.author=Anderson, Suse&query.bibliographic=2020&query.container-title=The Digital Future of Museums: Conversations and Provocations",10.4324/9780429491573-2,104.91828999999998,1598888488.642341
9FAXFCG9,"?query.bibliographic=Challenging Normality: Museums In/As Public Space&query.author=Grinell, Klas&query.bibliographic=2014&query.container-title=Museums and Truth",Not found,,1598888489.463743
ZSATIW26,"?query.bibliographic=The Dysfunctional Relationship Between Copyright and Cultural Diversity&query.author=Macmillan, Fiona&query.bibliographic=2007&query.container-title=Quaderns Del CAC",Not found,,1598888490.3521864
4YW5V2ZV,"?query.bibliographic=Art and Architectural History and the Performative, Mindful Practice of the Digital Humanities&query.author=Langmead, Alison&query.bibliographic=2018&query.container-title=The Journal of Interactive Technology and Pedagogy",10.4324/9780429505188-31,51.788070000000005,1598888491.3913925
25DNDVEZ,"?query.bibliographic=Substantive Issues Arising in the Implementation of the International Covenant on Economic Social and Cultural Rights, Twenty-seventh session, Geneva 12-30 November 2001&query.bibliographic=2001",10.14217/9781848598683-14-en,50.704815,1598888493.8037946
SIYFVBF4,"?query.bibliographic=General Comment No. 17. The right of everyone to benefit from the protection of the moral and material interests resulting from any scientific, literary or artistic production of which he or she is the author (article 15, paragraph 1 (c), of the Covenant), Thirty-fifth session, Geneva, 7-25 November 2005&query.bibliographic=2005",10.18356/751800bd-en,48.35503,1598888496.1778975
MENXXZAL,"?query.bibliographic=General Comment No. 21: Right of everyone to take part in cultural life (art. 15, para. 1 (a), of the International Covenant on Economic, Social and Cultural Rights), Forty-third session, 2-20 November 2009&query.bibliographic=2009",10.1163/9789004228382_003,58.99267,1598888498.5316005
W7WBMZSL,/10.14236/ewic/EVA2018.11,10.14236/ewic/EVA2018.11,,1598888499.2717154
PQYUHIYF,"?query.bibliographic=Critical and Reflective Uses of New Media Technologies in Tribal Museums&query.author=Srinivasan, Ramesh; Enote, Jim; Bevcar, katherine M.; Boast, Robin&query.bibliographic=2009&query.container-title=Museums Management and Curatorship",10.1080/09647770902857901,131.61568,1598888506.1582034
E2YHFDPH,,Type not supported,,1598888506.1708286
QNH4479C,,Type not supported,,1598888506.1779852
R7VP5SSC,"?query.bibliographic=Re-thinking the Cultural Codes of New Media: The Question concerning Ontology&query.author=Srinivasan, Ramesh&query.bibliographic=2013&query.container-title=New Media and Society",10.1177/1461444812450686,98.90876,1598888507.3915215
8TB9TPBB,,Type not supported,,1598888507.4066846
RIDGFL9P,,Type not supported,,1598888507.4170382
DSPYD7SE,,Type not supported,,1598888507.4244235
S8IN88MY,,Type not supported,,1598888507.4317336
