Key,Creator,Creator Role,Creator Order,gender,agreement,split,male,female,ambiguous
TKL3QEIM,"Theodore, Terri",Author,0.0,F,0.75,False,{},"{'TERRI': ['GB', 'IE', 'US']}",{'TERRI': ['CA']}
P6C3N77W,"Arendsen, Annemieke",Author,0.0,F,1.0,False,{},"{'ANNEMIEKE': ['BE', 'CA', 'NL', 'US']}",{}
H8P3BGAS,Lisette Kalshoven,Author,0.0,Unexpected name format,,,,,
T9LLRRCX,"Chapman, Audrey R.",Author,0.0,F,1.0,True,{},"{'AUDREY': ['BE', 'CA', 'CH', 'FR', 'GB', 'IE', 'LU', 'MT', 'NL', 'US']}",{}
NWG8MXU7,"Gerstenblith, Patty",Author,0.0,F,1.0,False,{},"{'PATTY': ['CA', 'CH', 'GB', 'NL', 'US']}",{}
6YXY4ZNI,"Leguina, Adrian",Author,0.0,M,0.9444444444444444,False,"{'ADRIAN': ['AL', 'AT', 'BE', 'BG', 'CH', 'DE', 'ES', 'GB', 'HU', 'IE', 'MD', 'MT', 'NL', 'PL', 'RO', 'SK', 'US']}",{},{'ADRIAN': ['CA']}
6YXY4ZNI," Mihelj, Sabina",Author,1.0,F,1.0,False,{},"{'SABINA': ['AL', 'AT', 'AZ', 'BA', 'BE', 'CA', 'CH', 'ES', 'GB', 'HR', 'IN', 'IT', 'KS', 'KZ', 'LT', 'MD', 'ME', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'US']}",{}
BJTPTNFQ,"Helfer, Laurence",Author,0.0,FM,0.4444444444444444,False,"{'LAURENCE': ['GB', 'IE', 'MT', 'US']}","{'LAURENCE': ['BE', 'CH', 'FR', 'LU']}",{'LAURENCE': ['CA']}
74V66JU5,"Stinson, Alexander D.",Author,0.0,M,1.0,True,"{'ALEXANDER': [nan, 'AM', 'AT', 'AZ', 'BE', 'BY', 'CA', 'CH', 'DE', 'DK', 'EE', 'ES', 'GB', 'GE', 'GH', 'IE', 'IL', 'IS', 'KZ', 'MD', 'MT', 'NL', 'NO', 'PE', 'RU', 'SE', 'SK', 'UA', 'US']}",{},{}
74V66JU5," Fauconnier, Sandra",Author,1.0,F,1.0,False,{},"{'SANDRA': ['AT', 'BA', 'BE', 'CA', 'CH', 'DE', 'DK', 'DM', 'EE', 'ES', 'FR', 'GB', 'HR', 'IE', 'IS', 'IT', 'LT', 'LU', 'LV', 'ME', 'MT', 'NL', 'NO', 'PT', 'RS', 'SE', 'SI', 'US']}",{}
74V66JU5," Wyatt, Liam",Author,2.0,M,1.0,False,"{'LIAM': ['AU', 'BE', 'CA', 'CH', 'DK', 'GB', 'IE', 'MT', 'NZ', 'SE', 'US']}",{},{}
PVULHDC2,"Werner, Sarah",Author,0.0,F,1.0,False,{},"{'SARAH': ['AE', 'AT', 'BE', 'CA', 'CH', 'DE', 'DK', 'EG', 'FR', 'GB', 'IE', 'IL', 'LI', 'LU', 'LY', 'MT', 'NL', 'NO', 'SE', 'US']}",{}
2PRX3FHZ,"Wilson, Bonita",Author,0.0,F,1.0,False,{},"{'BONITA': ['CA', 'GB', 'NL', 'US']}",{}
T6SNUDIX,"Sullivan, Robert",Author,0.0,M,0.9714285714285714,False,"{'ROBERT': ['AL', 'AM', 'AT', 'AZ', 'BA', 'BE', 'BY', 'CH', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FR', 'GB', 'GE', 'HR', 'HU', 'ID', 'IE', 'IL', 'IS', 'LU', 'MK', 'MT', 'NL', 'NO', 'PL', 'RO', 'RU', 'SE', 'SI', 'SK', 'US']}",{},{'ROBERT': ['CA']}
9R2J4RM8,Bathlander,Author,0.0,Unexpected name format,,,,,
C8IPCR9J,Making African Connections,Author,0.0,Unexpected name format,,,,,
